"LICENCE_NO","PREMISE_NAME","PREMISE_ADDRESS","CATEGORY","SUB_CATEGORY","CURRENCY","LAST_UPDATED","EASTING","NORTHING","LONGITUDE","LATITUDE"
"75720","The Moorings @ Franklin","3382 Huon Highway, FRANKLIN, 7113","General","Hotel","2017/05/11","Wednesday 08 May 2019",500863,5229349,147.010603115328,-43.0885747286476
"75723","Wine Direct (Tasmania)","2/65 Albert Road, MOONAH, 7009","Special","Wholesaler","2014/07/01","Wednesday 08 May 2019",524475,5256004,147.299539308358,-42.848151399131
"75736","Cellarbrations at Melville","50 Melville Street, HOBART, 7000","Off",NA,"2014/12/22","Wednesday 08 May 2019",526513,5252415,147.324650470229,-42.8804029529927
"75740","Wines for Joanie","163 Glendale Road, SIDMOUTH, 7270","Special","Wine Producer - Grape","2014/11/27","Wednesday 08 May 2019",490521,5433086,146.886856252972,-41.2535832395983
"75767","Steve's Grill at the Centennial","110 Balfour Street, LAUNCESTON, 7250","General","Hotel","2014/09/01","Wednesday 08 May 2019",511391,5411831,147.136364719918,-41.4450164823133
"75775","Eastcoast Village Providore","Shop 4, 55-59 Cecelia Street, ST HELENS, 7216","Special","Other","2014/09/01","Wednesday 08 May 2019",604548,5424868,148.249181650176,-41.3208857848936
"75808","Brook Lodge Estate","489 Old Coach Rd, CRANBROOK, 7190","Special","Wine Producer - Grape","2014/08/12","Wednesday 08 May 2019",586308,5354547,148.041427550171,-41.9563385260354
"75814","Purple Sage Restaurant and Bar","30 Goldie St, WYNYARD, 7325","On-Restaurant",NA,"2016/12/07","Wednesday 08 May 2019",393185,5461714,145.730158384066,-40.9887621211543
"75854","Ettie's","100 Elizabeth Street, HOBART, 7000","General","Tavern","2016/11/07","Wednesday 08 May 2019",526563,5252383,147.325264221974,-42.8806893795692
"75856","Abundance on the Quay","1/5 Clarence Street, BELLERIVE, 7018","On",NA,"2014/08/01","Wednesday 08 May 2019",530123,5253055,147.368819588912,-42.8745058134024
"75874","AJ'S Indian Cafe & Restaurant","79A George Street, LAUNCESTON, 7250","Special","Restaurant","2016/05/30","Wednesday 08 May 2019",511732,5412840,147.140427317301,-41.4359229827575
"75922","Australian Italian Club","77 Federal Street, NORTH HOBART, 7000","On",NA,"2014/08/25","Wednesday 08 May 2019",525719,5253427,147.314881784723,-42.8713168968264
"75945","The Chocolate Gallery and Cafe","17 Church St, STANLEY, 7331","On",NA,"2016/04/21","Wednesday 08 May 2019",356170,5486272,145.29595913107,-40.7619454467023
"75981","Pedro's Seafood Bar & Grill","Crescent Street (Wharf), ULVERSTONE, 7315","On-Restaurant",NA,"2014/08/22","Wednesday 08 May 2019",430295,5443564,146.169219186664,-41.1562578807715
"76011","Lonnies Niteclub Bar & Lounge","1st Floor, 107 Brisbane Street, LAUNCESTON, 7250","On",NA,"2017/11/22","Wednesday 08 May 2019",511636,5412681,147.139281300954,-41.4373565763978
"76042","Freycinet Golf Club","11 Swanwick Drive, COLES BAY, 7215","General","Tavern","2014/08/22","Wednesday 08 May 2019",602746,5339011,148.242455010623,-42.0942623540504
"76050","The Picnic Basket","176 Channel Highway, TAROONA, 7053","Special","Restaurant","2014/09/30","Wednesday 08 May 2019",528274,5244708,147.346602184809,-42.9497417747519
"76132","Salamanca Wharf Hotel","17A Castray Esplande, BATTERY POINT, 7004","Special","In-house","2014/11/06","Wednesday 08 May 2019",527487,5251709,147.336611420303,-42.886726127069
"76147","Campania Bar & Bistro","85 Reeve Street, CAMPANIA, 7026","General","Tavern","2016/05/16","Wednesday 08 May 2019",534531,5276413,147.421360697653,-42.6639755361017
"76218","Old Beach Cricket Club","3/84 Jetty Road, OLD BEACH, 7017","Club",NA,"2014/11/26","Wednesday 08 May 2019",521904,5263891,147.267767695738,-42.7772046862827
"76221","Trout Hall Wines","102 Armstrongs Road, CRADOC, 7109","Special","Wine Producer - Grape","2014/10/01","Wednesday 08 May 2019",502217,5225067,147.027255927293,-43.1271310424312
"76236","BWS (Ravenswood)","59 Castlemain Road, RAVENSWOOD, 7250","Off",NA,"2014/12/12","Wednesday 08 May 2019",515529,5414679,147.185828439127,-41.4192937013487
"76253","The Angel's Share","14 Church Street, STANLEY, 7331","Special","Other","2015/03/10","Wednesday 08 May 2019",356229,5486400,145.296687276929,-40.7608031723433
"76271","Glaetzer-Dixon Family Winemakers","93 Brooker Avenue, GLEBE, 7000","Special","Wine Producer - Grape","2014/10/03","Wednesday 08 May 2019",526755,5252920,147.327589644883,-42.875846918577
"76273","Domaine Dawnelle","130 Forest Road, GRANTON, 7030","Special","Wine Producer - Grape","2014/10/10","Wednesday 08 May 2019",517650,5265823,147.215704262071,-42.7599160531389
"76274","Kettering Cricket Club","2963 Channel Highway, KETTERING, 7155","Club",NA,"2015/10/15","Wednesday 08 May 2019",520055,5225252,147.246549544844,-43.1252027684692
"76289","AW Shugg Craft Distiller","87 Grandview Avenue, PARK GROVE, 7320","Special","Wholesaler","2016/01/12","Wednesday 08 May 2019",406978,5454539,145.89301980212,-41.0550734392687
"76317","West Ulverstone Football Club","152 Amy Street, ULVERSTONE, 7315","On",NA,"2014/12/19","Wednesday 08 May 2019",429101,5445059,146.155162814744,-41.1426888703159
"76336","Bruny Island Cheese Co","1807 Main Road, GREAT BAY, 7150","Special","Other","2014/11/14","Wednesday 08 May 2019",531326,5216417,147.385609043654,-43.2043762020142
